LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
Dog Senior Citizen or Disability Spayed Female,MIXED,BROWN,HONEY,15238,2017,12/21/2016 15:31
Dog Senior Citizen or Disability Neutered Male,LAB MIX,BLACK,DUKE,15147,2017,12/15/2016 16:07
Dog Individual Male,CHIHUAHUA,BLACK,MILO,15065,2017,1/9/2017 16:01
Dog Individual Spayed Female,MIXED,BROWN,SOPHIE,15243,2017,3/23/2017 14:32
Dog Individual Spayed Female,YORKSHIRE TERRIER,BLACK/GREY,PRINCESS MIA,15014,2017,12/20/2016 8:44
Dog Individual Neutered Male,SIB HUSKY,BLACK,SABBATH,15108,2017,12/12/2016 16:17
Dog Individual Spayed Female,MALTESE,WHITE,PIXIE,15057,2017,1/3/2017 8:58
Dog Individual Spayed Female,SIB HUSKY MIX,WHITE/BLACK,GRACEY,15106,2017,12/16/2016 10:45
Dog Senior Citizen or Disability Neutered Male,SIB HUSKY,WHITE/BLACK,CRUSH,15215,2017,2/10/2017 16:18
Dog Senior Citizen or Disability Neutered Male,SIB HUSKY,WHITE/BLACK,CRUSH,15215,2017,2/10/2017 15:34
Dog Senior Citizen or Disability Neutered Male,POODLE TOY,BLACK,BUDDY,15101,2017,12/2/2016 11:18
Dog Individual Spayed Female,SHEPHERD MIX,RED/BROWN,KIRA,15017,2017,2/15/2017 15:54
Dog Senior Citizen or Disability Spayed Female,SHIH TZU,LIVER,PIPER,15065,2017,12/22/2016 16:28
Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/BLACK/BROWN,MEKA,15147,2017,12/9/2016 9:00
Dog Individual Male,MALTESE,WHITE,DANCER,15145,2017,1/24/2017 9:02
Dog Individual Spayed Female,CHIHUAHUA,BROWN,JESSIE,15101,2017,12/13/2016 15:24
Dog Individual Spayed Female,MIXED,BLACK,MISTY,15235,2017,1/12/2017 14:15
Dog Senior Citizen or Disability Neutered Male,SCHNAUZER MIN,BLACK,MAGOO,15101,2017,12/2/2016 13:28
Dog Individual Neutered Male,CHIHUAHUA MIX,BLACK,NEMO,15116,2017,2/27/2017 16:26
Dog Senior Citizen or Disability Spayed Female,SHEPHERD MIX,MULTI,SADIE,15238,2017,12/13/2016 14:16
Dog Individual Neutered Male,LAB MIX,BLACK/BROWN,MOOCH,15241,2017,11/30/2016 12:54
Dog Individual Neutered Male,POODLE STANDARD,BLACK,YUKON,15218,2017,3/27/2017 8:34
Dog Senior Citizen or Disability Spayed Female,COCKER SPANIEL,BUFF,BUFFY,15146,2017,12/30/2016 8:29
Dog Senior Citizen or Disability Neutered Male,LHASA APSO,MULTI,SPANKY,15234,2017,12/14/2016 9:08
Dog Senior Citizen or Disability Neutered Male,BRITTANY SPANIEL,ORANGE/WHITE,SAM,15122,2017,1/24/2017 11:58
Dog Senior Citizen or Disability Female,BRITTANY SPANIEL,ORANGE/WHITE,BELLA,15122,2017,1/9/2017 11:07
Dog Individual Spayed Female,MIXED,MULTI,DIAMOND,15202,2017,1/6/2017 8:40
Dog Individual Neutered Male,GER SHEPHERD MIX,RED,JAKE,15235,2017,2/9/2017 12:54
Dog Individual Neutered Male,BRITTANY SPANIEL,ORANGE/WHITE,BOO,15236,2017,3/22/2017 8:38
Dog Individual Spayed Female,BRITTANY SPANIEL,ORANGE/WHITE,KITTY,15236,2017,3/22/2017 8:38
Dog Senior Citizen or Disability Female,LABRADOR RETRIEVER,BLACK,KATIE,15237,2017,12/13/2016 10:51
Dog Individual Spayed Female,VIZSLA,RED,EMBER,15090,2017,12/15/2016 11:27
Dog Individual Spayed Female,AM PIT BULL TERRIER,BRINDLE,BELLA,15071,2017,12/16/2016 16:25
Dog Individual Neutered Male,BERNESE MTN DOG,WHITE/BLACK,DEXTER,15239,2017,3/15/2017 14:54
Dog Individual Neutered Male,MIN PINSCHER,BROWN,DIESEL,15227,2017,12/5/2016 8:52
Dog Individual Spayed Female,COCKER SPANIEL,BROWN,LILLY,15101,2017,1/12/2017 14:15
Dog Individual Neutered Male,LAB MIX,BLACK/TAN,CONNOR,15216,2017,12/5/2016 9:47
Dog Individual Neutered Male,BORD COLLIE,BLACK/BROWN,G- MAN,15122,2017,12/9/2016 10:27
Dog Individual Neutered Male,MIXED,YELLOW,BOWIE,15237,2017,1/9/2017 8:39
Dog Individual Neutered Male,MIXED,YELLOW,BOWIE,15237,2017,1/9/2017 8:39
Dog Individual Spayed Female,MIXED,BRINDLE,CAMI,15241,2017,3/7/2017 16:02
Dog Senior Citizen or Disability Male,MALTESE,WHITE,MIKIE,15090,2017,2/7/2017 8:39
Dog Individual Spayed Female,BICHON FRISE,WHITE,PRINCESS,15243,2017,1/6/2017 9:52
Dog Individual Spayed Female,BICHON FRISE,WHITE,PRINCESS,15243,2017,12/22/2016 16:28
Dog Individual Male,LABRADOR RETRIEVER,TAN,SAM,15044,2017,2/15/2017 15:53
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,ROCKY,15065,2017,2/3/2017 15:52
Dog Individual Neutered Male,BERNESE MTN DOG,BLACK,COOPER,15216,2017,2/7/2017 15:06
Dog Individual Spayed Female,GOLDEN RETRIEVER,GOLD,MAIZIE,15084,2017,12/14/2016 9:27
Dog Senior Citizen or Disability Neutered Male,PUG,BLACK/FAWN,CODY,15137,2017,2/27/2017 16:26
Dog Senior Citizen or Disability Spayed Female,PARSON RUSSELL TERR,SPOTTED,SAMMI,15031,2017,12/15/2016 10:16
Dog Individual Spayed Female,PUG,FAWN,TANK,16046,2017,12/21/2016 8:35
Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,BROWN,SUNNY,15044,2017,12/7/2016 16:19
Dog Individual Male,AM ESKIMO DOG,WHITE,SNOWBALL,15239,2017,2/8/2017 9:10
Dog Individual Neutered Male,MIXED,MULTI,TOMMY,15076,2017,2/27/2017 12:31
Dog Individual Spayed Female,DACHSHUND,RED/BROWN,SHELBY APRIL,15137,2017,12/16/2016 10:45
Dog Individual Neutered Male,SHETLAND SHEEPDOG,MULTI,MAX,15209,2017,12/12/2016 10:47
Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA,WHITE/TAN,MINNIE JR,15108,2017,1/6/2017 15:49
Dog Individual Neutered Male,CHIHUAHUA,BROWN,TACO BELL,15132,2017,2/13/2017 16:12
Dog Individual Spayed Female,CAIRN TERRIER,GREY,SHADOW,15101,2017,2/7/2017 13:19
Dog Individual Neutered Male,DACHSHUND,RED,SIR RUSTY,15239,2017,2/28/2017 16:02
Dog Senior Citizen or Disability Neutered Male,LABRADOR RETRIEVER,BLACK,CHANCE,15235,2017,3/28/2017 8:45
Dog Individual Spayed Female,DALMATIAN,SALT/PEPPER,BELLE,15237,2017,1/31/2017 8:46
Dog Individual Neutered Male,W HGHLND WH TERRIER,WHITE,SAM,15202,2017,1/12/2017 14:57
Dog Individual Spayed Female,DALMATIAN,SPOTTED,TESS,15044,2017,12/20/2016 12:18
Dog Individual Spayed Female,MIXED,BROWN,GODIVA,15108,2017,1/30/2017 13:52
Dog Individual Spayed Female,SIB HUSKY,WHITE/BLACK,IZZY,15215,2017,12/2/2016 10:59
Dog Senior Citizen or Disability Spayed Female,BOXER MIX,WHITE/BROWN,BRANDI,15237,2017,3/22/2017 8:39
Dog Individual Spayed Female,LABRADOR RETRIEVER,GOLD,MAGGIE,15229,2017,2/6/2017 13:48
Dog Individual Spayed Female,POODLE MIN,BROWN,PIXIE,15241,2017,12/6/2016 16:08
Dog Individual Neutered Male,MIXED,SPOTTED,HOMER,15101,2017,1/5/2017 16:35
Dog Individual Spayed Female,TERRIER,BLACK,NICA,15147,2017,3/6/2017 16:08
Dog Individual Spayed Female,LABRADOR RETRIEVER,YELLOW,SCULLY,15236,2017,12/28/2016 16:31
Dog Individual Neutered Male,MIXED,TAN,ZIGGY,15202,2017,12/12/2016 16:17
Dog Individual Spayed Female,LAB MIX,BROWN,FRANKY,15106,2017,2/23/2017 15:00
Dog Individual Spayed Female,BEAGLE,WHITE/BLACK/BROWN,MAISY,15025,2017,12/12/2016 13:35
Dog Individual Spayed Female,DALMATIAN,SPOTTED,LUCY,15044,2017,2/23/2017 12:51
Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERRIER,BROWN,RALEIGH,15228,2017,12/15/2016 9:58
Dog Senior Citizen or Disability Neutered Male,MIXED,WHITE,LITTLE BUD (LB),15236,2017,12/15/2016 9:57
Dog Senior Citizen or Disability Spayed Female,MIXED,BROWN,BELLA,15236,2017,12/14/2016 12:39
Dog Individual Neutered Male,MIXED,BLACK,MAX,15116,2017,1/3/2017 8:39
Dog Senior Citizen or Disability Neutered Male,MIXED,BLACK,MAX,15116,2017,1/3/2017 8:39
Dog Senior Citizen or Disability Neutered Male,COCKER SPANIEL,BROWN,BUDDY,15227,2017,12/6/2016 16:08
Dog Senior Citizen or Disability Neutered Male,POMERANIAN,WHITE,TUFFY,15225,2017,11/30/2016 12:54
Dog Individual Spayed Female,BRITTANY SPANIEL,WHITE/APRICOT,ELLIE MAE,15108,2017,2/23/2017 16:07
Dog Senior Citizen or Disability Spayed Female,ENG SETTER,WHITE/BROWN,RUBY,15044,2017,12/21/2016 8:44
Dog Individual Neutered Male,LHASA APSO,TAN,ARLO,15065,2017,2/3/2017 15:15
Dog Individual Spayed Female,LAB MIX,BLACK,BROOKE,15063,2017,2/13/2017 11:58
Dog Senior Citizen or Disability Spayed Female,MIXED,BLACK/BROWN,CLEO,15212,2017,12/15/2016 9:57
Dog Individual Neutered Male,MIXED,SPOTTED,COOPER,15017,2017,12/28/2016 16:14
Dog Senior Citizen or Disability Neutered Male,LAB MIX,BLACK,MURRAY,15237,2017,1/18/2017 9:07
Dog Individual Neutered Male,MIXED,BLACK/BROWN,SCOUT,15057,2017,3/3/2017 10:51
Dog Individual Spayed Female,GOLDEN RETRIEVER,GOLD,HANNA,15108,2017,3/6/2017 11:09
Dog Individual Spayed Female,PARSON RUSSELL TERR,WHITE,MINIE GIRL,15227,2017,2/2/2017 13:01
Dog Individual Spayed Female,PARSON RUSSELL TERR,WHITE/BROWN,TWISTER,15065,2017,2/1/2017 14:35
Dog Individual Neutered Male,COCKAPOO,BUFF,CODY,15228,2017,1/9/2017 16:01
Dog Individual Spayed Female,MIXED,BLACK/BROWN,NEKA,15220,2017,12/16/2016 15:21
Dog Individual Spayed Female,LABRADOR RETRIEVER,TAN,AMBER,15235,2017,2/24/2017 8:33
Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA,BROWN,PIXIE,15071,2017,12/9/2016 10:27
Dog Senior Citizen or Disability Spayed Female,PARSON RUSSELL TERR,WHITE/BROWN,SMUDGE-BEE,15106,2017,2/17/2017 15:08
Dog Senior Citizen or Disability Spayed Female,PARSON RUSSELL TERR,WHITE/BROWN,SMUDGE-BEE,15106,2017,2/17/2017 15:08
Dog Senior Citizen or Disability Spayed Female,PARSON RUSSELL TERR,WHITE/BROWN,SMUDGE-BEE,15106,2017,2/17/2017 15:08
Dog Individual Neutered Male,WELSH CORGI PEMBROK,WHITE/RED,BAYDEN,15239,2017,1/19/2017 12:48
Dog Senior Citizen or Disability Spayed Female,MIXED,BLACK,ANGEL,15136,2017,12/28/2016 15:34
Dog Individual Spayed Female,MIXED,BROWN,MADISON,15239,2017,12/16/2016 9:08
Dog Individual Male,MIXED,BLACK,GIBSON,15120,2017,2/3/2017 15:54
Dog Individual Spayed Female,MIXED,BROWN,SNUGGLES,15234,2017,12/12/2016 13:34
Dog Individual Neutered Male,DACHSHUND,BROWN,HENRY,15228,2017,1/12/2017 10:27
Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,BLACK,JELLY,15146,2017,1/18/2017 9:06
Dog Individual Neutered Male,POODLE MIN,GREY,CURLY,15136,2017,3/6/2017 13:54
Dog Senior Citizen or Disability Spayed Female,GER SHEPHERD,BROWN,SERENDIPITY,15101,2017,12/12/2016 16:17
Dog Senior Citizen or Disability Spayed Female,DACHSHUND,BROWN,MARLEA,15236,2017,3/7/2017 15:02
Dog Individual Spayed Female,SHETLAND SHEEPDOG,SABLE/WHITE,MAGGIE,15084,2017,1/26/2017 14:44
Dog Senior Citizen or Disability Spayed Female,POODLE STANDARD,BLACK,COSETTE,15235,2017,12/12/2016 8:54
Dog Individual Neutered Male,SHIH TZU,WHITE,HNELSON,15237,2017,1/9/2017 14:20
Dog Individual Spayed Female,MIXED,WHITE,IVY,15209,2017,1/3/2017 8:57
Dog Individual Spayed Female,MIXED,WHITE,IVY,15209,2017,1/3/2017 8:57
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,CHIPPER,15120,2017,12/9/2016 10:27
Dog Senior Citizen or Disability Spayed Female,MIXED,BLACK,JESSIE,15236,2017,12/13/2016 16:03
Dog Individual Spayed Female,YORKSHIRE TERR MIX,WHITE,GRACIE,15068,2017,12/15/2016 9:58
Dog Senior Citizen or Disability Neutered Male,SHIH TZU,OTHER,ASHTON,15116,2017,12/9/2016 8:58
Dog Individual Neutered Male,GER SHEPHERD,BLACK/TAN,SAMPSON,15104,2017,1/9/2017 8:39
Dog Senior Citizen or Disability Neutered Male,COCKER SPANIEL,BROWN,CEASAR,15108,2017,12/8/2016 10:10
Dog Individual Neutered Male,PARSON RUSSELL TERR,WHITE/BROWN,JOEY,15068,2017,12/14/2016 12:24
Dog Senior Citizen or Disability Spayed Female,MALTESE,WHITE,STELLA,15116,2017,12/29/2016 15:14
Dog Senior Citizen or Disability Female,MALTESE,WHITE,ROXIE,15116,2017,12/29/2016 15:14
Dog Individual Spayed Female,BICHON FRISE,WHITE,LUCY WILSON,15237,2017,1/9/2017 15:16
Dog Individual Spayed Female,COCKAPOO,BROWN,SADIE,15108,2017,2/23/2017 16:07
Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,LUCY,15147,2017,3/6/2017 13:54
Dog Individual Neutered Male,WEIMARANER,GREY,BEAU,15139,2017,2/17/2017 15:08
Dog Senior Citizen or Disability Spayed Female,COCKER SPANIEL,BUFF,BELLA,15243,2017,1/13/2017 9:50
Dog Individual Neutered Male,MIXED,BLACK/BROWN,LUCKY,15044,2017,1/17/2017 12:33
Dog Senior Citizen or Disability Neutered Male,W HGHLND WH TERRIER,WHITE,OLIVER,15017,2017,12/6/2016 16:07
Dog Individual Neutered Male,LAB MIX,BLACK,ZEUS,15116,2017,3/1/2017 15:42
Dog Senior Citizen or Disability Spayed Female,POODLE STANDARD,BROWN,CINNAMON,15131,2017,1/30/2017 10:57
Dog Individual Spayed Female,ROTTWEILER,BLACK/BROWN,TINY,15146,2017,1/10/2017 13:18
Dog Individual Spayed Female,BEAGLE,BROWN,TACO,15237,2017,2/22/2017 11:34
Dog Senior Citizen or Disability Spayed Female,MIXED,BLACK,CLEO,15235,2017,3/20/2017 8:41
Dog Senior Citizen or Disability Spayed Female,CAIRN TERRIER,BRINDLE,TRISCUIT,15209,2017,12/19/2016 15:40
Dog Individual Female,MIN PINSCHER,BLACK/TAN,LILY ROSE,15068,2017,12/30/2016 13:28
Dog Individual Spayed Female,GER SHEPHERD MIX,BLACK/FAWN,MISSY,15024,2017,1/24/2017 10:14
Dog Individual Spayed Female,MIXED,WHITE,SUNSHINE,15236,2017,11/30/2016 9:32
Dog Individual Spayed Female,GOLDEN RETRIEVER,RED/BLONDE,NIKKI NIKLAUS,15202,2017,12/13/2016 15:24
Dog Individual Spayed Female,BOXER MIX,BROWN,MURPHY,15108,2017,12/23/2016 8:44
Dog Individual Neutered Male,LAB MIX,BLACK,BART,15044,2017,2/23/2017 16:27
Dog Individual Spayed Female,LABRADOR RETRIEVER,BROWN,SNICKERS,15143,2017,2/23/2017 16:07
Dog Senior Citizen or Disability Spayed Female,PARSON RUSSELL TERR,SPOTTED,DAISY,15120,2017,1/23/2017 11:53
Dog Individual Neutered Male,COLLIE MIX,WHITE/TAN,DEUCE,15137,2017,12/29/2016 15:15
Dog Individual Neutered Male,MIXED,BLACK,SCOOTER,15216,2017,12/13/2016 16:04
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,MIIKKA,15046,2017,12/7/2016 16:19
Dog Individual Neutered Male,POODLE STANDARD,WHITE,LUCIUS,15017,2017,3/14/2017 15:02
Dog Individual Neutered Male,AUS SHEPHERD,BROWN/TAN,TUCKER,15238,2017,12/12/2016 9:35
Dog Senior Citizen or Disability Spayed Female,BEAGLE,WHITE/TAN,GINGER,15106,2017,1/3/2017 14:04
Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,SIDNEY,15237,2017,12/14/2016 9:08
Dog Individual Spayed Female,BORD COLLIE MIX,WHITE/BLACK,MAGIC,15215,2017,1/9/2017 9:10
Dog Individual Spayed Female,BEAGLE,SPOTTED,MANDI,15084,2017,2/23/2017 10:05
Dog Individual Neutered Male,MIXED,BROWN,CODY,15227,2017,2/27/2017 16:26
Dog Individual Spayed Female,LABRADOR RETRIEVER,YELLOW,CALI,15146,2017,12/19/2016 15:41
Dog Individual Neutered Male,SHIH TZU,BLACK/TAN/WHITE,SEBASTIAN,15146,2017,12/9/2016 8:58
Dog Senior Citizen or Disability Neutered Male,SHIH TZU,BLACK/TAN/WHITE,SEBASTIAN,15146,2017,12/9/2016 8:58
Dog Individual Spayed Female,DACHSHUND MIX,BLACK,ZENA,15202,2017,12/19/2016 15:40
Dog Individual Spayed Female,SHIH TZU MIX,WHITE/TAN,TOBI,15122,2017,2/14/2017 8:38
Dog Individual Spayed Female,COLLIE,SABLE,LADY,15202,2017,12/9/2016 8:58
Dog Individual Spayed Female,MIXED,WHITE/BLACK/BROWN,SNICKERDOODLE,15241,2017,12/15/2016 9:58
Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/BLACK/BROWN,SNICKERDOODLE,15241,2017,12/15/2016 9:58
Dog Senior Citizen or Disability Neutered Male,DACHSHUND,RED,OTTO,15236,2017,1/18/2017 16:11
Dog Individual Spayed Female,GER SHEPHERD MIX,WHITE/BLACK/BROWN,ASIA,15237,2017,2/3/2017 16:13
Dog Individual Neutered Male,MIN AUS SHEPHERD,WHITE/BLACK/BROWN,MICKEY,15090,2017,12/7/2016 15:43
Dog Individual Spayed Female,YORKSHIRE TERRIER,BLACK,CHLOE,15017,2017,1/23/2017 14:59
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,SHADOW,15146,2017,1/25/2017 9:03
Dog Senior Citizen or Disability Spayed Female,POODLE MIN,BLACK,AUDREY,15108,2017,1/10/2017 16:33
Dog Individual Spayed Female,BORD COLLIE,SPOTTED,CHLOE,15024,2017,2/15/2017 15:02
Dog Individual Spayed Female,GER SHEPHERD,SABLE,VONA,15143,2017,12/12/2016 9:34
Dog Individual Spayed Female,DACHSHUND,BROWN,LUNA,15237,2017,1/4/2017 15:57
Dog Individual Female,MALTESE,WHITE,CHAMP SPARKLE,15145,2017,1/24/2017 9:02
Dog Senior Citizen or Disability Spayed Female,GOLDENDOODLE,GOLD,ALLIE,15241,2017,12/16/2016 9:08
Dog Individual Spayed Female,GOLDENDOODLE,GOLD,ALLIE,15241,2017,12/16/2016 9:08
Dog Individual Spayed Female,CHIHUAHUA,BLACK/FAWN,BIANCA,15136,2017,1/30/2017 13:45
Dog Individual Spayed Female,MIXED,BLACK,BACI,15229,2017,1/3/2017 13:12
Dog Individual Spayed Female,MIN PINSCHER,RED,HAILEY,15132,2017,1/23/2017 13:33
Dog Senior Citizen or Disability Spayed Female,GORDON SETTER,BLACK,MAGGIE,15090,2017,12/19/2016 8:21
Dog Senior Citizen or Disability Neutered Male,MIXED,WHITE/BROWN,TYLER,15102,2017,2/2/2017 11:39
Dog Senior Citizen or Disability Male,GER SHEPHERD,BLACK/BROWN/TAN,LUCIFER,15084,2017,1/26/2017 13:23
Dog Senior Citizen or Disability Spayed Female,GREYHOUND,BLACK,DITTO,15237,2017,12/9/2016 9:00
Dog Individual Spayed Female,POMERANIAN,BLACK,BELLA,15132,2017,3/22/2017 13:19
Dog Senior Citizen or Disability Neutered Male,BOSTON TERRIER,WHITE/BLACK,CHEECH,15071,2017,12/16/2016 15:21
Dog Senior Citizen or Disability Neutered Male,BOSTON TERRIER,WHITE/BLACK,CHEECH,15071,2017,12/16/2016 15:21
Dog Individual Spayed Female,CHIHUAHUA,BROWN,BELLA,15220,2017,3/2/2017 11:18
Dog Individual Neutered Male,BLACK&TAN COONHOUND,BLACK/BROWN,BRUTUS,15237,2017,12/30/2016 13:56
Dog Individual Spayed Female,BEAGLE,WHITE/BLACK/BROWN,RASCAL,15239,2017,1/19/2017 11:31
Dog Individual Spayed Female,YORKSHIRE TERRIER,OTHER,HARLEY,15108,2017,1/6/2017 8:41
Dog Senior Citizen or Disability Neutered Male,LABRADOODLE,APRICOT,JAKE,15101,2017,12/6/2016 16:07
Dog Individual Spayed Female,DACHSHUND,BROWN,CHARLOTTE,15227,2017,3/28/2017 8:44
Dog Individual Neutered Male,AKITA,WHITE/BLACK,APOLLO,15202,2017,1/3/2017 8:58
Dog Individual Spayed Female,MIXED,BROWN,BEATRICE,15101,2017,11/30/2016 14:06
Dog Individual Neutered Male,PUG,FAWN,BISCUIT,15116,2017,3/15/2017 9:07
Dog Individual Neutered Male,BEAGLE,SPOTTED,BUDDY,15237,2017,12/13/2016 10:52
Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/BROWN,CHEYENNE,15037,2017,3/6/2017 12:47
Dog Senior Citizen or Disability Male,SCHNAUZER MIN,BLACK/SILVER,JACK,15108,2017,12/14/2016 12:39
Dog Individual Neutered Male,AIREDALE TERRIER,BLACK/BROWN,WINSTON,15237,2017,12/21/2016 10:51
Dog Individual Male,CHIHUAHUA,WHITE/BROWN,TIGGER,15146,2017,2/17/2017 11:51
Dog Senior Citizen or Disability Spayed Female,ALAS MALAMUTE,BLACK/BROWN,MILA,15143,2017,1/12/2017 9:36
Dog Senior Citizen or Disability Spayed Female,MIXED,RED,GYPSY,15102,2017,2/15/2017 8:41
Dog Individual Spayed Female,TERRIER MIX,BLACK/BROWN,CHOCOLATE,15065,2017,3/16/2017 13:51
Dog Individual Spayed Female,W HGHLND WH TERRIER,WHITE,MINNIE,15241,2017,12/7/2016 13:38
Dog Individual Spayed Female,LABRADOR RETRIEVER,BLONDE,HAGEN,15209,2017,12/7/2016 8:41
Dog Individual Neutered Male,BEAGLE,WHITE/BLACK/BROWN,EDMUND,15215,2017,12/20/2016 15:39
Dog Individual Neutered Male,CHIHUAHUA,SPOTTED,LJ,15071,2017,1/4/2017 9:01
Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/BLACK,MOLLY,15071,2017,1/18/2017 16:11
Dog Individual Spayed Female,MIXED,BROWN,BETSY,15065,2017,1/18/2017 10:20
Dog Individual Neutered Male,LAB MIX,BLACK,DANE,15220,2017,2/2/2017 14:35
Dog Individual Spayed Female,MIXED,WHITE/TAN,SYLVIA,15239,2017,12/16/2016 15:21
Dog Individual Spayed Female,LAB MIX,BRINDLE,RIO,15218,2017,12/29/2016 11:38
Dog Individual Spayed Female,CHIHUAHUA,BROWN,MARIA,15017,2017,12/14/2016 13:54
Dog Senior Citizen or Disability Spayed Female,AM PIT BULL TERRIER,WHITE/FAWN,JADA,15068,2017,3/22/2017 13:19
Dog Senior Citizen or Disability Spayed Female,PARSON RUSSELL TERR,WHITE/BROWN,LULU,15221,2017,12/13/2016 15:24
Dog Individual Male,MIXED,BLACK/BROWN,MOE H.B.,15239,2017,2/8/2017 15:35
Dog Individual Spayed Female,BORD COLLIE MIX,WHITE/BLACK,SADIE,15108,2017,1/30/2017 15:07
Dog Senior Citizen or Disability Spayed Female,POODLE MIX,WHITE,CHLOE,15136,2017,1/9/2017 14:20
Dog Individual Neutered Male,AM PIT BULL TERRIER,BRINDLE,DIESEL,15037,2017,1/25/2017 16:03
Dog Individual Neutered Male,SHIH TZU,WHITE/BLACK,MAXX,15235,2017,12/6/2016 16:08
Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,WHITE,LUCKY,15108,2017,1/19/2017 11:31
Dog Individual Spayed Female,LABRADOR RETRIEVER,YELLOW,BELLA,15108,2017,
Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,YELLOW,BELLA,15108,2017,1/24/2017 11:58
Dog Individual Spayed Female,BEAGLE MIX,BRINDLE,SASSY,15235,2017,2/22/2017 11:44
Dog Individual Neutered Male,BEAGLE MIX,SPOTTED,MURPHY,15228,2017,12/16/2016 9:08
Dog Senior Citizen or Disability Neutered Male,MIXED,BLACK,HARLEY,15227,2017,1/5/2017 9:17
Dog Senior Citizen or Disability Neutered Male,DACHSHUND,BLACK,ANDY,15145,2017,3/20/2017 13:35
Dog Individual Spayed Female,AM PITT BULL MIX,BRINDLE,KAYLA,15136,2017,12/14/2016 16:17
Dog Senior Citizen or Disability Neutered Male,SHIH TZU,MULTI,PEANUT II,15129,2017,12/13/2016 15:24
Dog Individual Spayed Female,DOBERMAN MIX,BLACK/TAN,SADIE,15235,2017,12/12/2016 13:35
Dog Individual Spayed Female,DACHSHUND,RED,FRANCINE LOUISE,15057,2017,12/20/2016 8:54
Dog Individual Neutered Male,MALTESE,WHITE,MAX KIP MEDUHO,15236,2017,12/27/2016 12:35
Dog Individual Spayed Female,RAT TERRIER,SPOTTED,HAILEY,15132,2017,1/20/2017 13:33
Dog Senior Citizen or Disability Spayed Female,BOSTON TERRIER,WHITE/BLACK,CHASE,15106,2017,1/9/2017 9:10
Dog Senior Citizen or Disability Neutered Male,SHIH TZU,SPOTTED,CUDDLES,15045,2017,12/12/2016 8:54
Dog Individual Neutered Male,BOSTON TERRIER,WHITE/BLACK,DUCE,15236,2017,12/8/2016 10:09
Dog Individual Spayed Female,SHETLAND SHEEPDOG,WHITE/TAN,LINDSEY,15205,2017,12/23/2016 14:35
Dog Senior Citizen or Disability Spayed Female,DACHSHUND,BLACK/TAN,GYPSY,15120,2017,2/21/2017 15:46
Dog Senior Citizen or Disability Neutered Male,DACHSHUND,BLACK/TAN,RICKY,15120,2017,2/21/2017 15:46
Dog Senior Citizen or Disability Male,SCHNAUZER STANDARD,BLACK/GREY,FRITZ,15136,2017,12/13/2016 13:52
Dog Individual Male,POMERANIAN,SABLE,PETEY,15112,2017,12/20/2016 12:22
Dog Individual Neutered Male,MIXED,BROWN,MURPHY,15044,2017,1/3/2017 12:26
Dog Senior Citizen or Disability Female,BEAGLE,MULTI,SUSIE,15235,2017,
Dog Individual Spayed Female,HOUND MIX,BROWN,BOO,15102,2017,1/18/2017 15:35
Dog Individual Spayed Female,BEAGLE,SPOTTED,BAILEY,15143,2017,12/12/2016 9:34
Dog Individual Neutered Male,BEAGLE MIX,WHITE/BLACK,DOMINO,15132,2017,12/7/2016 16:13
Dog Individual Neutered Male,MIXED,WHITE/TAN,TROUBLE,15147,2017,1/9/2017 16:01
Dog Individual Spayed Female,CHIHUAHUA,BROWN,DOLCE,15239,2017,1/4/2017 9:01
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,RUDY,15234,2017,12/15/2016 16:01
Dog Senior Citizen or Disability Spayed Female,GLEN OF IMAAL TERRI,BROWN,ROXY,15139,2017,12/30/2016 15:40
Dog Senior Citizen or Disability Neutered Male,MIXED,WHITE/BLACK,GUINNESS,15235,2017,1/31/2017 9:24
Dog Senior Citizen or Disability Spayed Female,BEAGLE,SPOTTED,SILVER,15044,2017,12/15/2016 9:57
Dog Individual Neutered Male,GER SHEPHERD MIX,BROWN,DUKE,15108,2017,12/7/2016 16:13
Dog Individual Female,DACHSHUND MIX,BROWN,PHOEBE,15065,2017,12/12/2016 9:35
Dog Individual Neutered Male,MIXED,WHITE/BLACK,ROCKY,15209,2017,11/30/2016 14:33
Dog Individual Neutered Male,LAB MIX,BLACK,KODY,15065,2017,1/4/2017 15:49
